Estimate,Est.Error,Q2.5,Q97.5,Group,WeeksNom,TimeNom,Diet,Sex,Geno,Time,Weeks
8.993133371329346,0.8282679158709718,7.372485720868334,10.61382017591509,HetCre.Male.LFD,39,0,LFD,Male,HetCre,0,39
24.44434700459466,0.8296182855433982,22.81913539870791,26.071279820600346,HetCre.Male.LFD,39,15,LFD,Male,HetCre,15,39
19.89399239142647,0.8996734311061829,18.134985390770087,21.67142546245084,HetCre.Male.LFD,39,30,LFD,Male,HetCre,30,39
15.883723360578575,0.8296538925371522,14.263381153408377,17.51284361646247,HetCre.Male.LFD,39,60,LFD,Male,HetCre,60,39
15.89263563163401,0.8275415733967706,14.272030545342533,17.516179063913256,HetCre.Male.LFD,39,90,LFD,Male,HetCre,90,39
13.497212273704648,0.8293907179577986,11.87296085890324,15.126783732999177,HetCre.Male.LFD,39,120,LFD,Male,HetCre,120,39
8.23080643558111,1.0374221696666355,6.19603514590815,10.271586489893066,NA,4,0,LFD,Female,NA,0,4
16.81534833849247,1.0462458910056085,14.765375303423422,18.858475251876587,NA,4,15,LFD,Female,NA,15,4
11.628308646583697,1.0467733364258702,9.57260297334271,13.682491879517373,NA,4,30,LFD,Female,NA,30,4
10.868872333309707,1.043982443075195,8.825027709112394,12.91741508026674,NA,4,60,LFD,Female,NA,60,4
10.736606635540415,1.0433799428764023,8.68938038245868,12.78252777613553,NA,4,90,LFD,Female,NA,90,4
9.696332134471952,1.044817000794584,7.647463874520204,11.745400937583927,NA,4,120,LFD,Female,NA,120,4
8.385440808926777,0.7042016778344534,7.0054601564206935,9.764541136824343,NA,9,0,LFD,Female,NA,0,9
18.76907278901,0.7050352318160203,17.396305256931846,20.151713359902107,NA,9,15,LFD,Female,NA,15,9
14.101684391182147,0.7037081079486472,12.716400925007784,15.485537774206106,NA,9,30,LFD,Female,NA,30,9
10.127803341912742,0.70404826542509,8.739523482025827,11.503673202133012,NA,9,60,LFD,Female,NA,60,9
8.884601115507195,0.7069573828906834,7.5016404021083485,10.272549062856926,NA,9,90,LFD,Female,NA,90,9
8.442394599927828,0.7054390625238327,7.060980500012396,9.828880650908085,NA,9,120,LFD,Female,NA,120,9
7.765633423229327,0.7631163807895862,6.270062356400872,9.257232704464478,NA,21,0,LFD,Female,NA,0,21
16.573569480103252,0.7642243643882846,15.08116064869833,18.070679889380234,NA,21,15,LFD,Female,NA,15,21
12.472365637524373,0.7637461588325816,10.977696451235746,13.965523640104484,NA,21,30,LFD,Female,NA,30,21
9.858554299029588,0.764410636905939,8.360072638082938,11.358967600917687,NA,21,60,LFD,Female,NA,60,21
7.887342530072807,0.7643145724443786,6.388761208390353,9.386490212086333,NA,21,90,LFD,Female,NA,90,21
7.360350193028464,0.7661634169997755,5.865695461164758,8.8655784008824,NA,21,120,LFD,Female,NA,120,21
8.606852161099162,0.7303790194947186,7.172847444507557,10.044910536876618,NA,39,0,LFD,Female,NA,0,39
18.548626375730855,0.7476290909244976,17.07978240009433,20.019209706477707,NA,39,15,LFD,Female,NA,15,39
16.93320771482294,0.745425699578331,15.474832037136252,18.39577564123652,NA,39,30,LFD,Female,NA,30,39
13.63386368398432,0.7446481092591636,12.1678522170497,15.09722565024784,NA,39,60,LFD,Female,NA,60,39
12.174049782058033,0.7483377009377512,10.706178479988537,13.634300343857518,NA,39,90,LFD,Female,NA,90,39
10.295930752591415,0.7482480681864588,8.830180288761134,11.76390169191671,NA,39,120,LFD,Female,NA,120,39
10.641142076754354,1.2923240522788983,8.114867401249562,13.174760676886136,NA,4,0,LFD,Male,NA,0,4
23.243846197556163,1.3117380112728916,20.675725889519704,25.81455219322019,NA,4,15,LFD,Male,NA,15,4
19.961862061196435,1.3132446297379974,17.385012367088166,22.548186888708095,NA,4,30,LFD,Male,NA,30,4
13.435181296274505,1.3040772913561214,10.874105284782038,15.99249813814323,NA,4,60,LFD,Male,NA,60,4
10.745433170096561,1.3113813498611528,8.176947453673629,13.31254413380909,NA,4,90,LFD,Male,NA,90,4
9.488692955843842,1.3121321202650706,6.916741077612694,12.062830591217276,NA,4,120,LFD,Male,NA,120,4
8.647899636180618,0.7226820458610237,7.237671467016488,10.060860194265935,NA,9,0,LFD,Male,NA,0,9
21.970401027122225,0.725173142310039,20.552631144679143,23.386541806465736,NA,9,15,LFD,Male,NA,15,9
18.55566327058375,0.7258668473761942,17.130760671045024,19.980958707556358,NA,9,30,LFD,Male,NA,30,9
12.491958329804199,0.7228537126142461,11.072937890784715,13.900806183038696,NA,9,60,LFD,Male,NA,60,9
10.617727581269794,0.7236457999754172,9.202137899247234,12.037470426266951,NA,9,90,LFD,Male,NA,90,9
9.781702278264836,0.7252233540994654,8.358295533764899,11.197722729391632,NA,9,120,LFD,Male,NA,120,9
8.232415542434534,0.8831315918722105,6.500329164313877,9.968472574948104,NA,21,0,LFD,Male,NA,0,21
22.22774682401232,0.8851077905527772,20.49164088455332,23.962930428465818,NA,21,15,LFD,Male,NA,15,21
20.031052614778424,0.8833878776924817,18.299458984885955,21.75122708909075,NA,21,30,LFD,Male,NA,30,21
14.284659849058864,0.8893130808156846,12.538563279361766,16.02757006136759,NA,21,60,LFD,Male,NA,60,21
11.406222185527497,0.8827733831268327,9.685946693381293,13.138377229930866,NA,21,90,LFD,Male,NA,90,21
